size	N	runtime
1	3600	51.288480
2	3600	25.817611
3	3600	19.441015
4	3600	13.326728
5	3600	11.786567
6	3600	9.501848
8	3600	7.509774
9	3600	7.775930
10	3600	6.327702
12	3600	5.551481
15	3600	5.096534
18	3600	4.052896
20	3600	3.709848
24	3600	3.108163
30	3600	2.463560
36	3600	2.092774
40	3600	1.947679
45	3600	1.775563
60	3600	1.273707
